星际牛仔,9.1,(8980人评分)
攻壳机动队 S.A.C. 2nd GIG,9.1,(4905人评分)
攻壳机动队 STAND ALONE COMPLEX,9.1,(5961人评分)
CLANNAD ～AFTER STORY～,9.0,(13568人评分)
新世纪福音战士剧场版 Air/真心为你,8.9,(8186人评分)
攻壳机动队,8.9,(5232人评分)
新世纪福音战士,8.9,(15146人评分)
浪客剑心 追忆篇,8.9,(4268人评分)
猫和老鼠,8.9,(4781人评分)
3月的狮子 第二季,8.8,(4160人评分)
银河英雄传说,8.8,(1403人评分)
白箱,8.8,(10643人评分)
灌篮高手,8.8,(6206人评分)
银魂',8.8,(8483人评分)
钢之炼金术师 FULLMETAL ALCHEMIST,8.7,(12214人评分)
虫师,8.7,(6935人评分)
攻壳机动队2 无罪,8.7,(3890人评分)
银魂,8.7,(8029人评分)
蓝色恐惧,8.7,(4435人评分)
进击的巨人 第三季 Part.2,8.6,(6533人评分)
凉宫春日的消失,8.6,(11320人评分)
千年女优,8.6,(5707人评分)
机动警察 和平保卫战,8.7,(1424人评分)
命运石之门,8.6,(16539人评分)
天元突破 红莲螺岩,8.6,(7420人评分)
瑞克和莫蒂 第三季,8.6,(1861人评分)
福音战士新剧场版：破,8.6,(8241人评分)
千与千寻,8.6,(11486人评分)
大闹天宫,8.6,(2821人评分)
水星领航员 第三季,8.6,(1530人评分)
混沌武士,8.5,(5049人评分)
瑞克和莫蒂 第二季,8.6,(1862人评分)
虫师 续章 第2期,8.5,(2254人评分)
瑞克和莫蒂 第一季,8.5,(2131人评分)
虫师 续章,8.5,(2722人评分)
机动战士高达0080 口袋里的战争,8.5,(2333人评分)
四叠半神话大系,8.5,(6534人评分)
蜂蜜与四叶草II,8.5,(2845人评分)
魔法少女小圆,8.5,(17013人评分)
排球少年 乌野高校 VS 白鸟泽学园高校,8.5,(2693人评分)
天空之城,8.5,(6714人评分)
奇巧计程车,8.5,(4049人评分)
蜂蜜与四叶草,8.5,(3840人评分)
莉兹与青鸟,8.5,(5926人评分)
乒乓,8.5,(6357人评分)
机动战士Z高达,8.5,(1862人评分)
新・福音战士剧场版：终,8.5,(2763人评分)
攻壳机动队2.0,8.5,(1930人评分)
红辣椒,8.5,(5652人评分)
赛马娘 Pretty Derby 第二季,8.4,(3519人评分)
新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,8.4,(3338人评分)
哆啦A梦 大山版,8.5,(1054人评分)
海贼王,8.4,(7568人评分)
明日之丈2,9.0,(106人评分)
死亡笔记,8.4,(9610人评分)
幽灵公主,8.4,(5301人评分)
少女革命,8.4,(2495人评分)
剧场版 空之境界 第五章 矛盾螺旋,8.4,(6628人评分)
CLANNAD,8.4,(12378人评分)
攻壳机动队 S.A.C. Solid State Society,8.4,(2157人评分)
日常,8.4,(11379人评分)
水星领航员 The AVVENIRE,8.4,(837人评分)
机动战士高达 逆袭的夏亚,8.4,(1732人评分)
少女与战车 剧场版,8.4,(4025人评分)
昭和元禄落语心中 -助六再临篇-,8.4,(1441人评分)
剧场版 魔法少女小圆 [新篇] 叛逆的物语,8.3,(6727人评分)
猎人,8.3,(2956人评分)
排球少年 第二季,8.4,(2940人评分)
风之谷,8.3,(4496人评分)
百变之星,8.4,(1005人评分)
JOJO的奇妙冒险 星尘斗士 埃及篇,8.3,(5689人评分)
怪物,8.3,(2110人评分)
FLCL,8.3,(4285人评分)
Code Geass 反叛的鲁路修,8.3,(10971人评分)
棒球英豪,8.3,(1365人评分)
摇曳露营△ 第二季,8.3,(3225人评分)
∀高达,8.3,(1244人评分)
数码宝贝大冒险,8.3,(4995人评分)
爆漫王。3,8.3,(3078人评分)
化物语,8.3,(12165人评分)
3月的狮子,8.3,(4624人评分)
我的三体 章北海传,8.3,(1182人评分)
战斗之魂Brave,8.9,(86人评分)
钢之炼金术师,8.3,(6114人评分)
银魂' 延长战,8.3,(2805人评分)
星际牛仔 天国之扉,8.3,(3401人评分)
棋魂,8.3,(3118人评分)
物怪,8.3,(2730人评分)
机器人总动员,8.3,(3684人评分)
歌牌情缘2,8.3,(2970人评分)
水星领航员 第二季,8.3,(1500人评分)
十二国记,8.3,(2508人评分)
星空清理者,8.3,(2380人评分)
太空丹迪 第二季,8.3,(1963人评分)
Heart Catch 光之美少女!,8.3,(759人评分)
哆啦A梦,8.3,(2065人评分)
皇家国教骑士团 OVA,8.3,(3382人评分)
永生之酒,8.2,(6901人评分)
来自新世界,8.2,(7636人评分)
飞跃巅峰！,8.2,(2906人评分)
虫师 特別篇 蚀日之翳,8.3,(1881人评分)
吹响！悠风号 第二季,8.2,(5895人评分)
东京教父,8.3,(3532人评分)
冰菓,8.2,(14195人评分)
强风吹拂,8.2,(3105人评分)
福音战士新剧场版：序,8.2,(7480人评分)
来自深渊,8.2,(6522人评分)
新世纪福音战士剧场版 死与新生,8.2,(4484人评分)
虫师 特别篇 铃之雫,8.3,(1258人评分)
吹响！悠风号,8.2,(8528人评分)
夏目友人帐 参,8.2,(5942人评分)
龙猫,8.2,(6008人评分)
水星领航员 OVA ～ARIETTA～,8.3,(878人评分)
猎人 OVA,8.2,(1017人评分)
水星领航员,8.2,(2365人评分)
电脑线圈,8.2,(3049人评分)
悠哉日常大王 Nonstop,8.2,(1863人评分)
摇曳露营△,8.2,(6261人评分)
少女革命剧场版 思春期默示录,8.2,(1200人评分)
比宇宙更远的地方,8.2,(7025人评分)
飞跃巅峰2！,8.2,(2467人评分)
王牌投手 振臂高挥～夏日大会篇～,8.2,(1226人评分)
Code Geass 反叛的鲁路修R2,8.2,(9292人评分)
海盗战记,8.2,(3366人评分)
幸运星,8.2,(8756人评分)
昭和元禄落语心中,8.2,(2236人评分)
凉宫春日的忧郁,8.2,(9612人评分)
排球少年,8.2,(3951人评分)
天元突破红莲螺岩 螺岩篇,8.2,(2068人评分)
全金属狂潮 校园篇,8.2,(4561人评分)
日本动画（人）博览会,8.2,(1487人评分)
回忆三部曲,8.2,(2066人评分)
王牌投手 振臂高挥,8.2,(1644人评分)
瑞克和莫蒂 第四季,8.2,(1020人评分)
别对映像研出手！,8.2,(4353人评分)
欢迎加入NHK！,8.2,(4131人评分)
福星小子2 绮丽梦中人,8.2,(492人评分)
JOJO的奇妙冒险,8.1,(7152人评分)
传说巨神伊迪安 发动篇,8.3,(290人评分)
高分少女 第二季,8.2,(1992人评分)
老人与海,8.2,(563人评分)
宇宙兄弟,8.2,(1375人评分)
龙珠,8.2,(3105人评分)
爆漫王。2,8.1,(3409人评分)
罗小黑战记 众生之门篇,8.2,(621人评分)
人狼,8.2,(1305人评分)
蜡笔小新 呼风唤雨！大人帝国的反击,8.2,(574人评分)
春宵苦短，少女前进吧！,8.1,(4240人评分)
Fate/Zero,8.1,(15029人评分)
黄金神威 第三季,8.2,(1190人评分)
寒蝉鸣泣之时 解,8.1,(6303人评分)
灵能百分百 第二季,8.1,(5024人评分)
小魔女DoReMi 童年秘密篇,8.4,(169人评分)
终物语（下）,8.1,(2839人评分)
